Eesnimi;Perenimi;Sugu;Sünniaeg;Isikukood;Maakond;Tänav;Asula;Asulatüüp;Mobiiltelefon;Telefon;Surmaaeg;Vanus
Karlis;Taal;M;18.08.1991;39108182411;Võrumaa;Järvevana tee;Vaaksaarõ;küla;53428870;7885216;;
Jesper;Kask;M;18.08.1946;34608184414;Viljandimaa;Oa;Jaska;küla;55807541;4325446;;
Kalmer;Tali;M;18.08.1914;31408185852;Jõgevamaa;Regati puiestee;Kodavere;küla;55788782;7788693;;
Beatrice;Lumi;N;18.08.1986;48608182985;Põlvamaa;Jõe;Maaritsa;küla;53317015;7922770;;
Artemi;Tamme;M;18.08.1964;36408188936;Valgamaa;Kevade;Mäha;küla;59640200;7621021;;
Olev;Ševtšenko;M;18.08.1916;31608186474;Harjumaa;Umboja;Kopli;küla;;6490572;23.11.1927;11
Andra;Kriisa;N;18.08.1950;45008189564;Saaremaa;Jääraku tee;Läätsa;küla;59676429;4515072;;
Lisete;Lumi;N;18.08.1997;49708186870;Võrumaa;Meistri;Liguri;küla;52722859;7862377;;
Andrei;Saks;M;18.08.1963;36308181843;Võrumaa;Lohu;Käänu;küla;51447940;7823896;;
Berit;Prikk;N;18.08.1940;44008188696;Saaremaa;Kasarmu;Easte;küla;56030692;4571272;;
German;Link;M;18.08.1935;33508187841;Lääne-Virumaa;Varre;Liigvalla;küla;53821847;3209334;;
Timur;Drozdov;M;18.08.1955;35508185231;Lääne-Virumaa;Pöörise;Sauste;küla;52001796;3288683;;
Aivo;Danilov;M;18.08.1930;33008181920;Saaremaa;2. liin;Paju-Kurdla;küla;50236502;4596350;;
Mark;Kuusk;M;18.08.1934;33408189329;Saaremaa;Aleksandri;Salme;alevik;50518743;4573583;;
Karlis;Aas;M;18.08.1943;34308184874;Tartumaa;Preesi;Praaga;küla;;7923990;08.07.1957;13
Rauno;Hoffmann;M;18.08.1989;38908184890;Läänemaa;Pikse;Nihka;küla;59334496;4795637;;
Juss;Sulg;M;18.08.1930;33008181343;Põlvamaa;Tarva;Vändra;küla;55878358;7982766;;
Janete;Friedman;N;18.08.1996;49608187546;Saaremaa;Kanali;Sauvere;küla;59498903;4532360;;
Maili;Martin;N;18.08.1930;43008183369;Jõgevamaa;Plasti;Tähkvere;küla;55874459;7776913;;
Einar;Kokk;M;18.08.1996;39608180023;Lääne-Virumaa;Promenaadi;Liiguste;küla;58908997;3253912;;
Raimond;Antonov;M;23.05.2006;50605230975;Harjumaa;Kastani pôik;Nehatu;küla;51035177;6268264;18.08.2019;13
Iiris;Lepik;N;11.09.1932;43209116499;Viljandimaa;Rahvakooli tee;Odiste;küla;58361597;4396524;18.08.2006;73
Ekaterina;Kuuse;N;18.08.1983;48308189911;Harjumaa;Suur-Patarei;Assaku;alevik;59409961;6115184;;
Katre;Moroz;N;18.08.2007;60708183792;Läänemaa;Suur-Sõjamäe põik;Väike-Nõmmküla;küla;54982952;4757112;;
Anne-Liis;Aus;N;18.08.1990;49008184391;Hiiumaa;2. Jõesuu;Suureranna;küla;55933839;4634172;;
Mairon;Gromov;M;27.01.1951;35101272661;Pärnumaa;Maleaed;Mustaru;küla;;4410153;18.08.1991;40
Taavet;Kuzmin;M;18.08.1948;34808187195;Jõgevamaa;Jääraku põik;Pudivere;küla;54023890;7709451;;
Gert;Nurm;M;18.08.1911;31108180050;Lääne-Virumaa;Vihu;Laekvere;alevik;55001903;3297900;;
Marit;Titov;N;01.11.2003;60311016149;Võrumaa;Kloostrimetsa tee;Haanja;küla;57046096;7848277;18.08.2005;1
Inger;Laht;N;18.08.1975;47508180378;Jõgevamaa;Friedrich Kuhlbarsi;Pajusi;küla;51201239;7754259;;
Katerina;Loginov;N;18.08.1988;48808183246;Lääne-Virumaa;Ülase;Liiguste;küla;55898671;3204861;09.07.1996;7
Sigrit;Toots;N;18.08.1933;43308189158;Järvamaa;Liipri;Kabala;küla;55820846;3858664;;
Airika;Link;N;18.08.1907;40708181231;Võrumaa;Vahe;Preeksa;küla;57217304;7846431;14.06.2017;109
Matvei;Käärik;M;18.08.1966;36608184571;Jõgevamaa;Nooruse;Vitsjärve;küla;50672791;7745496;;
Renata;Maack;N;18.08.1960;46008183463;Hiiumaa;Pintsli;Moka;küla;53403728;4674292;;
Aljona;Siim;N;18.08.1962;46208181492;Järvamaa;Ranniku tee;Prääma;küla;51797638;3889392;;
Armin;Käsper;M;18.08.1982;38208189297;Võrumaa;Looga;Lükkä;küla;56564992;7802203;;
Enar;Tuul;M;18.08.1916;31608189959;Hiiumaa;Merivälja tee;Leisu;küla;56131745;4605479;;
Silvia;Kaasik;N;18.08.1941;44108186192;Pärnumaa;Pikksilma;Kidise;küla;56963787;4493968;;
Markko;Michelson;M;22.08.1937;33708220149;Võrumaa;Äkke;Saki;küla;59975719;7809431;18.08.2003;65
Deivid;Paal;M;18.08.2013;51308187563;Läänemaa;Piparmündi;Liivi;küla;55171852;4709142;;
Auli;Mädamürk;N;18.08.1934;43408186953;Raplamaa;Juhan Kunderi põik;Tapupere;küla;58520156;4809466;;
Elo;Melnik;N;18.08.1907;40708181480;Lääne-Virumaa;Rõõmu tee;Eisma;küla;51934743;3206061;;
Rene;Jürgenson;M;18.08.1994;39408183211;Saaremaa;Pae;Kiirassaare;küla;54429110;4588791;06.06.2015;20
Artur;Jermakov;M;18.08.1984;38408183379;Harjumaa;Villardi;Laitse;küla;52333381;6511577;;
Joel;Kohv;M;18.08.1968;36808180609;Võrumaa;Tulika põik;Väiku-Ruuga;küla;56448887;7813726;;
Aet;Belov;N;18.08.1973;47308189454;Saaremaa;Marja tänav;Mõega;küla;57121794;4503097;;
Ave;Michelson;N;18.08.2019;61908183908;Jõgevamaa;Silikaltsiidi;Tarakvere;küla;54975570;7745935;;
Yulia;Simson;N;18.08.1964;46408180927;Lääne-Virumaa;Bajadeeri;Villakvere;küla;51971843;3265207;;
Uljana;Aavik;N;18.08.1931;43108185424;Saaremaa;Kristjan Raua;Mustjala;küla;56486057;4563847;;
Mare;Treial;N;18.08.1989;48908183222;Järvamaa;Luisu;Ahula;küla;59020007;3887635;;
Linda;Mäesalu;N;18.08.2016;61608189355;Võrumaa;Vana-Pärnu maantee;Punsa;küla;54417697;7800385;;
Ardo;Tamm;M;18.08.1942;34208189716;Tartumaa;Tõnu;Ätte;küla;58272586;7974503;;
Jan;Vorobjov;M;18.08.1957;35708180433;Harjumaa;Hommiku;Laulasmaa;küla;58343815;6582388;;
Epp;Tomingas;N;18.08.1994;49408186123;Hiiumaa;Orase;Risti;küla;52644451;4609583;;
Merle;Põld;N;18.08.1904;40408182952;Hiiumaa;Paadi;Villamaa;küla;57367935;4615478;;
Danil;Suvi;M;18.08.1975;37508181326;Tartumaa;Tedre;Peatskivi;küla;58124815;7861106;;
Angelika;Õun;N;18.08.1996;49608182313;Läänemaa;Pilviku;Põgari-Sassi;küla;59081454;4739801;;
Karl Mihkel;Jegorov;M;13.10.1984;38410132139;Tartumaa;Ants Laikmaa;Välgi;küla;58363338;7116145;18.08.2014;29
Mariann;Soosaar;N;18.08.1981;48108188806;Võrumaa;Kaevu;Mäe-Tilga;küla;58183934;7884749;02.03.2017;35
Kristiine;Laine;N;18.08.1936;43608183570;Saaremaa;Kume;Pöitse;küla;53859397;4568662;;
Ranno;Solovjov;M;18.08.1930;33008189982;Ida-Virumaa;Kannustiiva;Saka;küla;59007242;3341929;;
Jelizaveta;Kallas;N;18.08.1945;44508188856;Ida-Virumaa;Seemne;Pauliku;küla;56700221;3363554;;
Hugo;Powell;M;18.08.2005;50508182839;Pärnumaa;Sihi;Allikõnnu;küla;52710809;4408988;;
Riin;Maidla;N;18.08.1940;44008187089;Lääne-Virumaa;Mureli tänav;Raeküla;küla;52230064;3272797;;
Jargo;Bērziņš;M;18.08.2017;51708189860;Viljandimaa;Veskimäe;Pöögle;küla;56892798;4376260;;
Natalja;Anissimov;N;18.08.1937;43708183015;Lääne-Virumaa;Sarapiku tee;Kakumäe;küla;54959892;3229762;;
Keily;Lillemets;N;18.08.2014;61408186971;Ida-Virumaa;Lepiku tee;Maetsma;küla;50965909;3306735;;
Kert;Mändla;M;18.08.2019;51908180955;Saaremaa;Mai põik;Kugalepa;küla;57321552;4534510;;
Valdur;Jaakson;M;18.08.2018;51808188655;Saaremaa;Põõsa tee;Nässuma;küla;58820694;4590284;;
Denis;じず;M;18.08.1914;31408182535;Läänemaa;Jaan Poska;Paslepa;küla;55580079;4771980;;
Carmen;Kodres;N;18.08.1983;48308187433;Harjumaa;Raudsilla;Kantküla;küla;53521437;6466211;02.01.2002;18
Janeli;Leppik;N;18.08.1931;43108182265;Jõgevamaa;Kubu;Pauastvere;küla;58803491;7714310;;
Egon;Lehtmets;M;18.08.1960;36008185525;Tartumaa;Kullese;Talvikese;küla;51575017;7891418;;
Adelina;Saare;N;18.08.1904;40408185010;Harjumaa;Vana-Liivamäe;Ardu;küla;54073043;6743128;;
Kelvin;Raamat;M;18.08.1994;39408189446;Võrumaa;Kiikri;Hürsi;küla;55296181;7803479;;
Melany;Soo;N;21.06.2010;61006219616;Viljandimaa;Rahvakooli tee;Saviaugu;küla;57747482;4376076;18.08.2019;9
Ain;Jürisson;M;18.08.2010;51008185354;Võrumaa;E. Kitse;Viru;küla;52852916;7894804;;
Marleen;Arrak;N;18.08.1927;42708184087;Valgamaa;Sinitiiva;Päidla;küla;57375932;7626315;;
Marija;Kiil;N;18.08.1911;41108189890;Läänemaa;Loode;Jõõdre;küla;;4756841;15.07.1944;32
Merle;Popov;N;18.08.1982;48208181416;Hiiumaa;Sangla;Nõmba;küla;56051807;4662881;;
Kendra;Lepp;N;18.08.1966;46608186770;Jõgevamaa;Meelise;Põltsamaa;linn;50943559;7783118;;
Sebastian;Poom;M;18.08.1952;35208187288;Põlvamaa;Muuli;Nulga;küla;57421102;7979023;;
Lisete;Rosin;N;18.08.1996;49608182014;Saaremaa;Lavamaa;Kuremetsa;küla;52421700;4514442;;
Nadezhda;Simson;N;18.08.1946;44608188350;Saaremaa;Salmeaed;Koksi;küla;52750346;4534675;;
Aliise;Lill;N;18.08.1944;44408183484;Valgamaa;Liivalaia;Käärikmäe;küla;57421142;7604833;;
Deniel;Medvedev;M;18.08.1972;37208185949;Võrumaa;Karu;Kirumpää;küla;50017943;7821389;07.02.2006;33
Georgi;Liiva;M;18.08.1922;32208186719;Läänemaa;Talutare;Norrby;küla;56979620;4778476;;
Jakov;Vlassov;M;18.08.2003;50308181884;Lääne-Virumaa;Rävala;Kohala;küla;58163057;3287426;;
Helina;Gorbunov;N;18.08.1959;45908185385;Valgamaa;Lydia Koidula;Palamuste;küla;53496396;7608210;;
Anna Liisa;Mihhailov;N;18.08.1947;44708186920;Hiiumaa;Päikese;Kõpu;küla;53337556;4675859;;
Kuldar;Nurk;M;18.08.1907;30708182487;Harjumaa;Gümnaasiumi;Valgejõe;küla;59738478;6817344;;
Artem;Malõšev;M;18.08.1950;35008183031;Harjumaa;Mõisaääre tänav;Tutermaa;küla;58675222;6270735;;
Romet;Unt;M;18.08.1951;35108186075;Põlvamaa;Haldja;Säässaare;küla;54813993;7946129;;
Merit;Pukk;N;18.08.1972;47208187531;Pärnumaa;Pidu;Võrungi;küla;56785699;4415537;;
Üllar;Kiik;M;18.08.1972;37208180660;Võrumaa;Karu;Varstu;alevik;50570355;7873116;24.04.2013;40
Mihkel;Männik;M;18.08.2016;51608189764;Põlvamaa;Armatuuri;Jantra;küla;52040383;7927655;19.10.2016;0
Renet;Simm;M;18.08.1971;37108186375;Harjumaa;Mulla;Kihmla;küla;55208399;6879904;;
Raneli;Leppik;N;18.08.2013;61308181340;Raplamaa;Varese;Sonni;küla;54117476;4856030;;
Günther;Kiil;M;18.08.1951;35108181919;Viljandimaa;Turu plats;Leeli;küla;56089411;4391573;;
Anton;Salumets;M;18.08.1908;30808180085;Pärnumaa;Proletariaadi;Oissaare;küla;52614056;4473969;;
Robi;Tuisk;M;18.08.2007;50708180333;Põlvamaa;Rahu tee;Räpina;linn;50733755;7942933;;
Alla;Danilov;N;18.08.1949;44908184038;Võrumaa;Voo;Teterüvä;küla;57576796;7863510;;
Triinu;Lumi;N;18.08.2003;60308183111;Tartumaa;Metshirve tänav;Võõpste;küla;50390022;7689953;;
Hanna;Fomin;N;18.08.1999;49908181168;Võrumaa;Kume;Rõuge;alevik;54886435;7837711;;
Ats;Ivanov;M;18.08.1917;31708189453;Harjumaa;Kalda;Käesalu;küla;52869494;6803163;;
Anžela;Suur;N;18.08.1941;44108185266;Põlvamaa;Merirahu;Roosi;küla;58580173;7950251;;
Einar;Mitt;M;18.08.1979;37908189877;Lääne-Virumaa;Vesiravila;Lahu;küla;51810224;3212821;;
Vlada;Paas;N;18.08.1973;47308189407;Valgamaa;Abaja põik;Keeni;küla;51619522;7627089;;
Ester;Friedman;N;18.08.1953;45308185879;Ida-Virumaa;Vana-Pärnu maantee;Paadenurme;küla;50702880;3324921;;
Triini;Gusev;N;18.08.1988;48808184258;Viljandimaa;Tulimulla;Taevere;küla;57163156;4363198;;
Marian;Trofimov;N;18.08.2009;60908187087;Viljandimaa;Viimsi tee;Sultsi;küla;50170424;4323009;;
Kärolin;Tõnisson;N;18.08.1932;43208183848;Harjumaa;Naistepuna tee;Kolga;alevik;52460052;6793503;;
Nikolay;Kikas;M;18.08.1929;32908189127;Jõgevamaa;Artur Kapi;Pikkjärve;küla;54668846;7718006;;
Patricia;Lunin;N;18.08.1981;48108188039;Läänemaa;Allveelaeva;Võnnu;küla;54659100;4757112;;
Joosep;Põder;M;18.08.1985;38508180617;Tartumaa;Käänu;Vanaussaia;küla;50141378;7700936;;
Vladislav;Lomp;M;26.03.1938;33803260299;Võrumaa;A. Elleri;Ritsiko;küla;;7843601;18.08.1971;33
Kristian;Kirsipuu;M;18.08.1935;33508185787;Tartumaa;Vilja;Rebase;küla;52260134;7612464;;
Kristian;Laas;M;18.08.1982;38208181666;Harjumaa;Mõõna tee;Ilmastalu;küla;59006144;6470585;12.12.1996;14
Karolina;Pent;N;18.08.1943;44308180854;Järvamaa;Paul Kerese;Metsla;küla;51627781;3856498;;
Lisell;Kiil;N;18.08.1970;47008183968;Valgamaa;Varju tee;Valtina;küla;56199135;7611287;;
Keili;Hanson;N;18.08.1945;44508184992;Võrumaa;Metsakooli põik;Mäe-Palo;küla;;7871236;10.05.1981;35
Iris;Fedorov;N;18.08.1973;47308187971;Saaremaa;Kohila;Kiritu;küla;55868916;4530011;;
Boriss;Malõšev;M;18.08.1904;30408188414;Pärnumaa;Täpiku;Tootsi;alev;59669403;4430531;;
Marlen;Orlov;N;18.08.1955;45508188148;Valgamaa;Carl Robert Jakobsoni;Vidrike;küla;53311187;7642914;;
Kennet;Jarvis;M;18.08.1994;39408183671;Harjumaa;Eha;Rae;küla;58290934;6654260;;
Eva-Maria;Simson;N;18.08.1958;45808182237;Harjumaa;Tuukri põik;Nehatu;küla;57752853;6121911;;
Raiko;Koppel;M;18.08.1933;33308185964;Valgamaa;Kalda tee;Karjatnurme;küla;52148708;7695523;;
Tiina;Kotov;N;18.08.1940;44008183119;Saaremaa;Metsaveere;Tõre;küla;56798906;4549545;;
Hanna-Maria;Laine;N;18.08.1926;42608182905;Võrumaa;Vedru;Mallika;küla;56807425;7815571;;
Kati;Lukk;N;18.08.1907;40708185725;Harjumaa;Pliiatsi;Tõreska;küla;54357831;6555641;;
Lisete;Kolesnik;N;18.08.1915;41508184789;Läänemaa;Malmö;Kinksi;küla;58147351;4709434;;
Eva-Maria;Kuusk;N;18.08.1979;47908182502;Harjumaa;Bensiini;Tõreska;küla;54461593;6578383;;
Elerin;Mark;N;18.08.1958;45808185197;Läänemaa;Kalda tee;Rohuküla;küla;53200971;4731881;;
Geidi;Laks;N;18.08.1955;45508183831;Raplamaa;Lageloo;Päärdu;küla;54795767;4892588;;
Adele;Annus;N;18.08.1943;44308183995;Võrumaa;Peetri;Treiali;küla;52489272;7852504;;
Brenda;Loginov;N;18.08.1928;42808183783;Raplamaa;Piibri;Kehtna-Nurme;küla;;4833687;03.10.1985;57
Iris;Järvekülg;N;18.08.1904;40408185517;Läänemaa;Arbu;Kadarpiku;küla;52585481;4772011;;
Marion;Raidma;N;18.08.1922;42208180898;Valgamaa;Vabaduse puiestee;Koigu;küla;53788433;7675481;;
Andreas;Jakobson;M;18.08.1919;31908181561;Harjumaa;Kose tee;Ruu;küla;57705220;6165040;;
Adrian;Gavrilov;M;18.08.1967;36708187612;Võrumaa;Toome puiestee;Augli;küla;52360765;7811120;;
Raneli;Maasik;N;18.08.1908;40808189966;Tartumaa;Humala;Õvi;küla;50206506;7179590;;
Terje;Männik;N;18.08.1927;42708181923;Põlvamaa;Hiie;Pääsna;küla;59322251;7929565;;
Danil;Belov;M;18.08.1953;35308183664;Lääne-Virumaa;Mõisavärava tänav;Tatruse;küla;56017089;3252656;;
Merit;Koger;N;18.08.1961;46108183563;Valgamaa;Jõesuu;Korkuna;küla;52639413;7637374;;
Andre;Rosenberg;M;18.08.1964;36408183082;Võrumaa;Pimeaia;Sarise;küla;52717810;7883557;;
Dan;Kohv;M;11.08.1924;32408119572;Harjumaa;Pärnaõie tee;Kupu;küla;;6362372;18.08.1973;49
Harri;Pruul;M;18.08.1928;32808182577;Saaremaa;Vainutalu;Kudjape;alevik;56178086;4506802;;
Voldemar;Grigorieva;M;18.08.1934;33408184807;Lääne-Virumaa;Piibri;Kunda;linn;52760137;3295626;;
Lilija;Õispuu;N;18.08.1915;41508188158;Ida-Virumaa;Siire;Mustmätta;küla;52474024;3343849;;
Loora;Lokk;N;18.08.2018;61808188929;Tartumaa;Arbi;Rämsi;küla;56853257;7306318;;
Kristiine;Lõhmus;N;18.08.1909;40908180984;Põlvamaa;Ida tee;Soodoma;küla;57225950;7942796;;
Liisu;Toome;N;18.08.1940;44008186830;Raplamaa;Lehtri;Ohulepa;küla;54028129;4838791;;
Lisete;Jeršov;N;05.12.1969;46912059718;Harjumaa;Hauka;Sõmeru;küla;;6126247;18.08.1972;2
Anastasiya;Pikk;N;18.08.2005;60508185327;Ida-Virumaa;Kalmistu;Sinimäe;alevik;59736764;3353064;;
Jaak;Silm;M;23.09.1927;32709235025;Tartumaa;Vahepere;Lembevere;küla;;7761403;18.08.1950;22
Helle;Toomsalu;N;18.08.1977;47708184812;Harjumaa;Lille;Saustinõmme;küla;57888479;6567793;;
Fjodor;Kirsipuu;M;18.08.2010;51008180168;Saaremaa;Mõisapõllu;Kalma;küla;55602747;4575349;;
Veronika;Truu;N;18.08.1941;44108182589;Ida-Virumaa;Vana-Rannamõisa tee;Metsküla;küla;53411323;3307276;;
Carl;Laas;M;18.08.1939;33908183107;Lääne-Virumaa;Metsa;Sagadi;küla;56663700;3207635;;
Taavi;Kull;M;18.08.1982;38208182175;Järvamaa;Riia  maantee;Poaka;küla;51309920;3886290;;
Kristjan;Sidorov;M;18.08.1906;30608180801;Ida-Virumaa;Topi;Kahula;küla;55216034;3329936;;
Alex;Frolov;M;18.08.1934;33408183553;Harjumaa;Lõhmuse tee;Pedase;küla;53424811;6194671;;
Berit;Semenov;N;18.08.1926;42608188176;Lääne-Virumaa;Noole;Ilumäe;küla;59703851;3257112;;
Mihail;Link;M;18.08.1966;36608184596;Viljandimaa;Selleri tänav;Karksi;küla;58000150;4334237;;
Marite;Kelder;N;18.08.1923;42308182452;Läänemaa;Kosmonaudi;Rame;küla;52829661;4785282;;
Elisabeth;Randmaa;N;18.08.1972;47208182347;Lääne-Virumaa;Kõue;Ilumäe;küla;55092125;3253203;;
Evely;Jermakov;N;18.08.1922;42208189117;Tartumaa;Umboja;Kobilu;küla;55968644;7525825;;
Marcus;Kivi;M;18.08.1928;32808182644;Pärnumaa;Raekoja;Peerni;küla;58400562;4460498;;
Margareth;Kudrjavtsev;N;18.08.1961;46108180433;Võrumaa;Liblika;Talka;küla;52452480;7801474;;
Natalija;Käär;N;18.08.1986;48608181580;Pärnumaa;Olevi põik;Nepste;küla;59972085;4451997;;
Ilona;Kruus;N;18.08.1985;48508188376;Saaremaa;Ants Lauteri;Mätja;küla;53580818;4546465;;
Antti;Tuisk;M;18.08.2010;51008187531;Põlvamaa;Kadri tee;Krüüdneri;küla;57980588;7934898;;
Maiken;Suits;N;18.08.1935;43508183158;Saaremaa;Irusilla;Jõe;küla;51391267;4503501;;
Andreas;Allas;M;18.08.2015;51508186850;Harjumaa;Jaama;Langa;küla;51356832;6343158;;
Jako;Abbt;M;18.08.1956;35608184518;Harjumaa;Härmatise;Assaku;alevik;50589682;6269756;;
Jarl;Koger;M;08.08.2014;51408085401;Harjumaa;Räga;Laabi;küla;57519010;6682894;18.08.2014;0
Lisete;Gusev;N;18.08.2016;61608189769;Pärnumaa;Poordi;Karuba;küla;55566270;4487870;;
Christian;Sillaots;M;18.08.1955;35508189802;Järvamaa;Kirsi;Roovere;küla;53496169;3804579;;
Heidi;Maksimov;N;18.08.1981;48108184141;Läänemaa;Valguta;Koluvere;küla;58492774;4757447;;
Sergey;Gerassimov;M;18.08.1941;34108188967;Lääne-Virumaa;Västriku;Lammasküla;küla;53789521;3286115;;
Toomas;Kink;M;18.08.1920;32008183754;Hiiumaa;Nooda tee;Tareste;küla;54280075;4681039;;
Jaan;Kurg;M;18.08.1936;33608188176;Saaremaa;Härmatise;Undva;küla;50413602;4594943;;
Albert;Jürgenson;M;18.08.1935;33508182430;Tartumaa;Suur-Jôe;Järiste;küla;51516341;7821687;;
Keiro;Väli;M;18.08.1964;36408185197;Võrumaa;Turba;Mutemetsa;küla;56955966;7864783;;
Tenno;Jaanson;M;18.08.1962;36208184751;Jõgevamaa;Plangu;Järvepera;küla;52973385;7791540;;
Anneli;Bõstrov;N;18.08.1927;42708184886;Võrumaa;Maisi;Uue-Antsla;küla;59135252;7898818;;
Ako;Fedorov;M;18.08.1933;33308187281;Saaremaa;Ilmatari;Kakuna;küla;54565938;4556347;;
Martti;Kiik;M;18.08.2001;50108187242;Harjumaa;Mäepealse;Kajamaa;küla;53615109;6265441;;
Reimo;Paju;M;18.08.1910;31008189553;Hiiumaa;1. Jôe;Hagaste;küla;56094488;4674431;;
Marti;Tammet;M;18.08.1993;39308182766;Raplamaa;Keevise;Pajaka;küla;57910501;4886798;24.01.2007;13
Sigrid;Prikk;N;18.08.1977;47708187932;Põlvamaa;Hipodroomi;Timo;küla;52624123;7957903;;
Ralf;Pettai;M;18.08.1961;36108184906;Tartumaa;Ranna  puiestee;Melliste;küla;51758077;7541330;;
Piia;Lääne;N;18.08.1906;40608181108;Harjumaa;Raja;Joaveski;küla;51462450;6287212;;
Valeriya;Järvekülg;N;18.08.1917;41708187224;Võrumaa;Hunditubaka tee;Põnni;küla;52357719;7898044;;
Inger;Grigorieva;N;18.08.1953;45308184661;Võrumaa;Meelise;Krabi;küla;50579097;7894496;;
Saara;Sikk;N;18.08.2002;60208180309;Võrumaa;Sirptiiva;Udsali;küla;50794029;7851317;;
Maido;Kolesnik;M;18.08.1944;34408181024;Viljandimaa;Suur-Sõjamäe;Kolga-Jaani;alevik;50855435;4387579;;
Nele;Fomin;N;18.08.1965;46508181797;Tartumaa;Rahumäe tee;Verevi;küla;59771077;7729359;;
Tatjana;Urb;N;26.12.1983;48312268629;Saaremaa;Jahimehe põik;Lahetaguse;küla;50266216;4598724;18.08.2001;17
Karl-Kevin;Piirsalu;M;18.08.1976;37608188323;Saaremaa;Marja;Veeriku;küla;53750847;4517641;27.07.1995;18
Viljar;Lillemets;M;18.08.1993;39308182370;Võrumaa;Sarra;Antsu;küla;58073009;7825977;;
Kadi-Liis;Põldma;N;18.08.1973;47308181312;Harjumaa;Rocca al Mare;Kiisa;alevik;54333606;6641997;;
Age;Sokolov;N;18.08.1991;49108181092;Ida-Virumaa;Puju;Varinurme;küla;51999190;3313889;;
Marite;Laur;N;18.08.1973;47308182558;Harjumaa;Härmatise;Kotka;küla;58332502;6531914;;
Cevin;Kalda;M;18.08.1932;33208184137;Jõgevamaa;Tammelehe;Sassukvere;küla;55330966;7745262;;
Arthur;Kisseljov;M;18.08.1938;33808181315;Raplamaa;Vahe;Sutlema;küla;;4804209;07.03.1990;51
Riko;Põder;M;18.08.1908;30808181420;Harjumaa;Lõimise;Salumäe;küla;52097738;6471065;;
Tauno;Tammet;M;18.08.1981;38108186025;Järvamaa;Väikese Illimari;Öötla;küla;56872107;3848693;;
Daniel;Kasemaa;M;18.08.1943;34308189534;Pärnumaa;Ristiku;Ertsma;küla;50123792;4483921;;
Simona;Sibul;N;19.02.2007;60702199936;Lääne-Virumaa;Mõisa allee;Savalduma;küla;52684925;3279188;18.08.2019;12
Eliisabet;Kotov;N;16.04.1989;48904164808;Põlvamaa;Soovildiku;Pääväkese;küla;;7945541;18.08.1991;2
Anneliis;Poom;N;18.08.2007;60708189550;Harjumaa;Harku;Lutsu;küla;58298799;6611053;;
Elizabet;Piho;N;18.08.1908;40808183244;Võrumaa;Võtme;Lompka;küla;51735772;7899487;;
Valdur;Luik;M;18.08.1908;30808187672;Pärnumaa;Rõugu;Lavassaare;alev;58967219;4442608;;
Tiina;Pärtel;N;18.08.1938;43808183649;Põlvamaa;Särje;Pragi;küla;58728446;7910901;;
Helina;Laht;N;18.08.1940;44008184080;Võrumaa;Hõbeda;Kaaratautsa;küla;;7808651;23.06.1945;4
Jaagup;Sillaste;M;18.08.1946;34608184305;Viljandimaa;Haaviku tee;Niguli;küla;57852564;4331751;;
Mihkel;Männik;M;18.08.1980;38008182662;Saaremaa;Jõekääru;Vintri;küla;56812868;4503462;;
